code,description,unspecified,sex,age_min,age_max,keywords,notes
E78.00,"Pure hypercholesterolemia, unspecified",1,,0,120,hypercholesterolemia|elevated ldl,
E66.9,"Obesity, unspecified",1,,0,120,obesity|obese,
E66.01,Morbid (severe) obesity due to excess calories,0,,0,120,morbid obesity|severe obesity|class 3 obesity,
Z68.41,Body mass index (BMI) 40.0-44.9 adult,0,,18,120,bmi 40|bmi 41|bmi 42|bmi 43|bmi 44,
E03.9,"Hypothyroidism, unspecified",1,,0,120,hypothyroidism|underactive thyroid,
E87.6,Hypokalemia,0,,0,120,hypokalemia|low potassium,
D64.9,"Anemia, unspecified",1,,0,120,anemia,
D50.9,"Iron deficiency anemia, unspecified",1,,0,120,iron deficiency anemia,
F32.9,"Major depressive disorder, single episode, unspecified",1,,0,120,depression|major depressive disorder|mdd,
F33.1,"Major depressive disorder, recurrent, moderate",0,,0,120,recurrent moderate depression|mdd recurrent moderate,
F41.1,Generalized anxiety disorder,0,,0,120,generalized anxiety disorder|gad|anxiety,
F17.210,"Nicotine dependence, cigarettes, uncomplicated",0,,0,120,nicotine dependence|current smoker|tobacco use disorder|smokes cigarettes,
Z87.891,Personal history of nicotine dependence,0,,0,120,former smoker|history of smoking|quit smoking,
G47.33,Obstructive sleep apnea (adult) (pediatric),0,,0,120,obstructive sleep apnea|osa|sleep apnea,
G43.909,"Migraine, unspecified, not intractable, without status migrainosus",1,,0,120,migraine,
R51.9,"Headache, unspecified",1,,0,120,headache,
K21.9,Gastro-esophageal reflux disease without esophagitis,0,,0,120,gerd|acid reflux|gastroesophageal reflux,
M54.50,"Low back pain, unspecified",1,,0,120,low back pain|lumbago|lbp,
M54.51,Vertebrogenic low back pain,0,,0,120,vertebrogenic low back pain,
M17.10,Unilateral primary osteoarthritis unspecified knee,1,,0,120,knee osteoarthritis|oa of knee|degenerative joint disease knee,
M17.11,Unilateral primary osteoarthritis right knee,0,,0,120,right knee osteoarthritis|oa right knee,
M17.12,Unilateral primary osteoarthritis left knee,0,,0,120,left knee osteoarthritis|oa left knee,
M25.561,Pain in right knee,0,,0,120,right knee pain,
M25.562,Pain in left knee,0,,0,120,left knee pain,
M79.604,Pain in right leg,0,,0,120,right leg pain,
S83.241A,Other tear of medial meniscus current injury right knee initial encounter,0,,0,120,medial meniscus tear right|torn medial meniscus right knee,
S72.001A,Fracture of unspecified part of neck of right femur initial encounter for closed fracture,0,,0,120,right hip fracture|right femoral neck fracture,
W19.XXXA,Unspecified fall initial encounter,0,,0,120,fall|fell|mechanical fall,
L03.115,Cellulitis of right lower limb,0,,0,120,right leg cellulitis|cellulitis right lower extremity,
L02.411,Cutaneous abscess of right axilla,0,,0,120,right axillary abscess,
H66.001,Acute suppurative otitis media without spontaneous rupture of ear drum right ear,0,,0,120,acute otitis media right|right ear infection,
H61.21,Impacted cerumen right ear,0,,0,120,impacted cerumen right|right ear wax impaction,
H61.23,"Impacted cerumen, bilateral",0,,0,120,bilateral impacted cerumen|cerumen impaction both ears,
R07.9,"Chest pain, unspecified",1,,0,120,chest pain,
R07.89,Other chest pain,0,,0,120,atypical chest pain|musculoskeletal chest pain,
R10.9,Unspecified abdominal pain,1,,0,120,abdominal pain|belly pain,
R06.02,Shortness of breath,0,,0,120,shortness of breath|dyspnea|sob,
R05.3,Chronic cough,0,,0,120,chronic cough,
R05.9,"Cough, unspecified",1,,0,120,cough,
R55,Syncope and collapse,0,,0,120,syncope|passed out|fainting,
R42,Dizziness and giddiness,0,,0,120,dizziness|lightheaded|vertigo nos,
A41.9,"Sepsis, unspecified organism",1,,0,120,sepsis,
R65.20,Severe sepsis without septic shock,0,,0,120,severe sepsis,
Z00.00,Encounter for general adult medical examination without abnormal findings,0,,18,120,annual physical|routine physical exam|wellness exam no abnormal findings,
Z00.01,Encounter for general adult medical examination with abnormal findings,0,,18,120,annual physical with abnormal findings,
Z12.11,Encounter for screening for malignant neoplasm of colon,0,,45,120,colon cancer screening|screening colonoscopy,
Z12.31,Encounter for screening mammogram for malignant neoplasm of breast,0,F,35,120,screening mammogram,
C50.911,Malignant neoplasm of unspecified site of right female breast,0,F,18,120,right breast cancer,
O09.90,"Supervision of high risk pregnancy, unspecified, unspecified trimester",1,F,10,60,high risk pregnancy supervision,
Z79.4,Long term (current) use of insulin,0,,0,120,on insulin|insulin therapy long term|uses lantus,
Z79.84,Long term (current) use of oral hypoglycemic drugs,0,,0,120,on metformin|oral hypoglycemic long term,
Z23,Encounter for immunization,0,,0,120,immunization|vaccine administration|flu shot,
