code,description,keywords,global_days,mue,sex,age_min,age_max,category,bilateral_eligible,professional_component,em_level,em_type
94640,Pressurized or nonpressurized inhalation treatment,nebulizer treatment|albuterol nebulizer|duoneb treatment,0,4,,0,120,therapy,0,0,,
20610,Arthrocentesis aspiration and/or injection major joint without ultrasound guidance,knee injection|joint aspiration major joint|arthrocentesis knee,0,2,,0,120,procedure,1,0,,
20611,Arthrocentesis aspiration and/or injection major joint with ultrasound guidance,knee injection with ultrasound guidance|ultrasound guided joint injection,0,2,,0,120,procedure,1,0,,
76942,Ultrasonic guidance for needle placement imaging supervision,ultrasound guidance needle placement,0,1,,0,120,imaging,0,1,,
96372,Therapeutic prophylactic or diagnostic injection subcutaneous or intramuscular,im injection|intramuscular injection therapeutic,0,3,,0,120,procedure,0,0,,
90471,Immunization administration one vaccine,immunization administration|vaccine administration first,0,1,,0,120,immunization,0,0,,
90686,Influenza virus vaccine quadrivalent split preservative free 0.5 mL,flu vaccine quadrivalent|influenza vaccine,0,1,,3,120,immunization,0,0,,
10060,Incision and drainage of abscess simple or single,i and d abscess simple|incision and drainage simple abscess,10,2,,0,120,procedure,0,0,,
10061,Incision and drainage of abscess complicated or multiple,i and d abscess complicated,10,1,,0,120,procedure,0,0,,
11042,Debridement subcutaneous tissue first 20 sq cm or less,debridement subcutaneous tissue,0,1,,0,120,procedure,0,0,,
12001,Simple repair superficial wounds scalp neck axillae trunk 2.5 cm or less,simple laceration repair 2.5 cm,0,1,,0,120,procedure,0,0,,
17000,Destruction premalignant lesion first lesion,destruction premalignant lesion|cryotherapy actinic keratosis first,10,1,,0,120,procedure,0,0,,
69210,Removal impacted cerumen requiring instrumentation unilateral,cerumen removal with instrumentation|impacted cerumen removal,0,1,,0,120,procedure,1,0,,
29870,Arthroscopy knee diagnostic,diagnostic knee arthroscopy,90,1,,0,120,surgery,1,0,,
29874,Arthroscopy knee surgical for removal of loose or foreign body,arthroscopic removal loose body knee,90,1,,0,120,surgery,1,0,,
29881,Arthroscopy knee surgical with meniscectomy medial or lateral,arthroscopic partial medial meniscectomy|knee arthroscopy meniscectomy,90,1,,0,120,surgery,1,0,,
45378,Colonoscopy flexible diagnostic,diagnostic colonoscopy,0,1,,0,120,endoscopy,0,0,,
45380,Colonoscopy flexible with biopsy single or multiple,colonoscopy with biopsy,0,1,,0,120,endoscopy,0,0,,
45385,Colonoscopy flexible with removal of lesion by snare technique,colonoscopy with snare polypectomy,0,1,,0,120,endoscopy,0,0,,
